,Yes,No,Partially
0,5,3,1
1,1,2,6
2,7,0,2
3,5,1,3
4,5,2,2
5,4,3,2
6,3,4,2
7,4,1,4
8,1,6,2
9,2,4,3
10,7,1,1
11,5,2,2
12,5,2,2
13,3,4,2
14,5,2,2
15,0,6,3
16,1,5,3
17,7,1,1
18,2,6,1
19,2,6,1
20,2,6,1
21,2,3,4
22,4,3,2
23,4,3,2
24,4,3,2
25,5,1,3
26,8,0,1
27,2,5,2
28,1,5,3
29,0,8,1
30,3,5,1
31,6,3,0
32,5,4,0
33,7,2,0
34,8,0,1
35,2,5,2
36,7,1,1
37,6,1,2
38,7,1,1
39,8,0,1
40,7,0,2
41,8,0,1
42,1,5,3
43,0,7,2
44,5,2,2
45,0,7,2
46,6,1,2
47,7,1,1
48,1,5,3
49,5,3,1
50,2,6,1
51,7,0,2
52,2,6,1
53,5,3,1
54,4,4,1
55,6,2,1
